... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
39
54
... finetuning the model
epoch 1, minibatch 300/300, validation error 16.666667 %
     epoch 1, minibatch 300/300, test error of best model 7.692308 %
epoch 2, minibatch 300/300, validation error 16.666667 %
epoch 3, minibatch 300/300, validation error 16.666667 %
epoch 4, minibatch 300/300, validation error 16.666667 %
epoch 5, minibatch 300/300, validation error 16.666667 %
epoch 6, minibatch 300/300, validation error 16.666667 %
epoch 7, minibatch 300/300, validation error 16.666667 %
epoch 8, minibatch 300/300, validation error 16.666667 %
epoch 9, minibatch 300/300, validation error 16.666667 %
epoch 10, minibatch 300/300, validation error 16.666667 %
epoch 11, minibatch 300/300, validation error 16.666667 %
epoch 12, minibatch 300/300, validation error 16.666667 %
epoch 13, minibatch 300/300, validation error 16.666667 %
epoch 14, minibatch 300/300, validation error 16.666667 %
epoch 15, minibatch 300/300, validation error 16.666667 %
epoch 16, minibatch 300/300, validation error 16.666667 %
epoch 17, minibatch 300/300, validation error 16.666667 %
epoch 18, minibatch 300/300, validation error 16.666667 %
epoch 19, minibatch 300/300, validation error 14.814815 %
     epoch 19, minibatch 300/300, test error of best model 2.564103 %
epoch 20, minibatch 300/300, validation error 14.814815 %
epoch 21, minibatch 300/300, validation error 14.814815 %
epoch 22, minibatch 300/300, validation error 14.814815 %
epoch 23, minibatch 300/300, validation error 14.814815 %
epoch 24, minibatch 300/300, validation error 14.814815 %
epoch 25, minibatch 300/300, validation error 14.814815 %
epoch 26, minibatch 300/300, validation error 14.814815 %
epoch 27, minibatch 300/300, validation error 14.814815 %
epoch 28, minibatch 300/300, validation error 14.814815 %
epoch 29, minibatch 300/300, validation error 14.814815 %
epoch 30, minibatch 300/300, validation error 14.814815 %
epoch 31, minibatch 300/300, validation error 14.814815 %
epoch 32, minibatch 300/300, validation error 14.814815 %
epoch 33, minibatch 300/300, validation error 14.814815 %
epoch 34, minibatch 300/300, validation error 14.814815 %
epoch 35, minibatch 300/300, validation error 14.814815 %
epoch 36, minibatch 300/300, validation error 14.814815 %
epoch 37, minibatch 300/300, validation error 14.814815 %
epoch 38, minibatch 300/300, validation error 14.814815 %
epoch 39, minibatch 300/300, validation error 14.814815 %
epoch 40, minibatch 300/300, validation error 14.814815 %
epoch 41, minibatch 300/300, validation error 14.814815 %
epoch 42, minibatch 300/300, validation error 12.962963 %
     epoch 42, minibatch 300/300, test error of best model 2.564103 %
epoch 43, minibatch 300/300, validation error 12.962963 %
epoch 44, minibatch 300/300, validation error 12.962963 %
epoch 45, minibatch 300/300, validation error 12.962963 %
epoch 46, minibatch 300/300, validation error 12.962963 %
epoch 47, minibatch 300/300, validation error 12.962963 %
epoch 48, minibatch 300/300, validation error 12.962963 %
epoch 49, minibatch 300/300, validation error 12.962963 %
epoch 50, minibatch 300/300, validation error 12.962963 %
epoch 51, minibatch 300/300, validation error 12.962963 %
epoch 52, minibatch 300/300, validation error 12.962963 %
epoch 53, minibatch 300/300, validation error 12.962963 %
epoch 54, minibatch 300/300, validation error 12.962963 %
epoch 55, minibatch 300/300, validation error 12.962963 %
epoch 56, minibatch 300/300, validation error 12.962963 %
epoch 57, minibatch 300/300, validation error 12.962963 %
epoch 58, minibatch 300/300, validation error 12.962963 %
epoch 59, minibatch 300/300, validation error 12.962963 %
epoch 60, minibatch 300/300, validation error 12.962963 %
epoch 61, minibatch 300/300, validation error 12.962963 %
epoch 62, minibatch 300/300, validation error 12.962963 %
epoch 63, minibatch 300/300, validation error 12.962963 %
epoch 64, minibatch 300/300, validation error 12.962963 %
epoch 65, minibatch 300/300, validation error 12.962963 %
epoch 66, minibatch 300/300, validation error 12.962963 %
epoch 67, minibatch 300/300, validation error 12.962963 %
epoch 68, minibatch 300/300, validation error 12.962963 %
epoch 69, minibatch 300/300, validation error 12.962963 %
epoch 70, minibatch 300/300, validation error 12.962963 %
epoch 71, minibatch 300/300, validation error 12.962963 %
epoch 72, minibatch 300/300, validation error 12.962963 %
epoch 73, minibatch 300/300, validation error 12.962963 %
epoch 74, minibatch 300/300, validation error 12.962963 %
epoch 75, minibatch 300/300, validation error 12.962963 %
epoch 76, minibatch 300/300, validation error 12.962963 %
epoch 77, minibatch 300/300, validation error 12.962963 %
epoch 78, minibatch 300/300, validation error 12.962963 %
epoch 79, minibatch 300/300, validation error 12.962963 %
epoch 80, minibatch 300/300, validation error 12.962963 %
epoch 81, minibatch 300/300, validation error 12.962963 %
epoch 82, minibatch 300/300, validation error 11.111111 %
     epoch 82, minibatch 300/300, test error of best model 2.564103 %
epoch 83, minibatch 300/300, validation error 11.111111 %
epoch 84, minibatch 300/300, validation error 11.111111 %
epoch 85, minibatch 300/300, validation error 11.111111 %
epoch 86, minibatch 300/300, validation error 11.111111 %
epoch 87, minibatch 300/300, validation error 11.111111 %
epoch 88, minibatch 300/300, validation error 11.111111 %
epoch 89, minibatch 300/300, validation error 11.111111 %
epoch 90, minibatch 300/300, validation error 11.111111 %
epoch 91, minibatch 300/300, validation error 11.111111 %
epoch 92, minibatch 300/300, validation error 11.111111 %
epoch 93, minibatch 300/300, validation error 11.111111 %
epoch 94, minibatch 300/300, validation error 11.111111 %
epoch 95, minibatch 300/300, validation error 11.111111 %
epoch 96, minibatch 300/300, validation error 11.111111 %
epoch 97, minibatch 300/300, validation error 11.111111 %
epoch 98, minibatch 300/300, validation error 11.111111 %
epoch 99, minibatch 300/300, validation error 11.111111 %
epoch 100, minibatch 300/300, validation error 11.111111 %
epoch 101, minibatch 300/300, validation error 11.111111 %
epoch 102, minibatch 300/300, validation error 11.111111 %
epoch 103, minibatch 300/300, validation error 11.111111 %
epoch 104, minibatch 300/300, validation error 11.111111 %
epoch 105, minibatch 300/300, validation error 11.111111 %
epoch 106, minibatch 300/300, validation error 11.111111 %
epoch 107, minibatch 300/300, validation error 11.111111 %
epoch 108, minibatch 300/300, validation error 11.111111 %
epoch 109, minibatch 300/300, validation error 11.111111 %
epoch 110, minibatch 300/300, validation error 11.111111 %
epoch 111, minibatch 300/300, validation error 11.111111 %
epoch 112, minibatch 300/300, validation error 11.111111 %
epoch 113, minibatch 300/300, validation error 11.111111 %
epoch 114, minibatch 300/300, validation error 11.111111 %
epoch 115, minibatch 300/300, validation error 11.111111 %
epoch 116, minibatch 300/300, validation error 11.111111 %
epoch 117, minibatch 300/300, validation error 11.111111 %
epoch 118, minibatch 300/300, validation error 11.111111 %
epoch 119, minibatch 300/300, validation error 11.111111 %
epoch 120, minibatch 300/300, validation error 11.111111 %
epoch 121, minibatch 300/300, validation error 11.111111 %
epoch 122, minibatch 300/300, validation error 11.111111 %
epoch 123, minibatch 300/300, validation error 11.111111 %
epoch 124, minibatch 300/300, validation error 11.111111 %
epoch 125, minibatch 300/300, validation error 11.111111 %
epoch 126, minibatch 300/300, validation error 11.111111 %
epoch 127, minibatch 300/300, validation error 11.111111 %
epoch 128, minibatch 300/300, validation error 11.111111 %
epoch 129, minibatch 300/300, validation error 11.111111 %
epoch 130, minibatch 300/300, validation error 11.111111 %
epoch 131, minibatch 300/300, validation error 11.111111 %
epoch 132, minibatch 300/300, validation error 11.111111 %
epoch 133, minibatch 300/300, validation error 11.111111 %
epoch 134, minibatch 300/300, validation error 11.111111 %
epoch 135, minibatch 300/300, validation error 11.111111 %
epoch 136, minibatch 300/300, validation error 11.111111 %
epoch 137, minibatch 300/300, validation error 11.111111 %
epoch 138, minibatch 300/300, validation error 11.111111 %
epoch 139, minibatch 300/300, validation error 11.111111 %
epoch 140, minibatch 300/300, validation error 11.111111 %
epoch 141, minibatch 300/300, validation error 11.111111 %
epoch 142, minibatch 300/300, validation error 11.111111 %
epoch 143, minibatch 300/300, validation error 11.111111 %
epoch 144, minibatch 300/300, validation error 11.111111 %
epoch 145, minibatch 300/300, validation error 11.111111 %
epoch 146, minibatch 300/300, validation error 11.111111 %
epoch 147, minibatch 300/300, validation error 11.111111 %
epoch 148, minibatch 300/300, validation error 11.111111 %
epoch 149, minibatch 300/300, validation error 11.111111 %
epoch 150, minibatch 300/300, validation error 11.111111 %
epoch 151, minibatch 300/300, validation error 11.111111 %
epoch 152, minibatch 300/300, validation error 11.111111 %
epoch 153, minibatch 300/300, validation error 11.111111 %
epoch 154, minibatch 300/300, validation error 11.111111 %
epoch 155, minibatch 300/300, validation error 11.111111 %
epoch 156, minibatch 300/300, validation error 11.111111 %
epoch 157, minibatch 300/300, validation error 11.111111 %
epoch 158, minibatch 300/300, validation error 11.111111 %
epoch 159, minibatch 300/300, validation error 11.111111 %
epoch 160, minibatch 300/300, validation error 11.111111 %
epoch 161, minibatch 300/300, validation error 11.111111 %
epoch 162, minibatch 300/300, validation error 11.111111 %
epoch 163, minibatch 300/300, validation error 11.111111 %
best logistic values:
Optimization complete with best validation score of 11.111111 %, on iteration 24600, with test performance 2.564103 %
